"","LGA","count","Gender","percentage"
"615","14920",3815,"Female",0.496292441784832
"616","14950",1579,"Female",0.506252003847387
"617","15050",39571,"Female",0.511881508311235
"618","15240",46215,"Female",0.511777017374838
"619","15270",11975,"Female",0.497383286260176
"620","15300",6520,"Female",0.495478379816095
"621","15350",15290,"Female",0.536962247585601
"622","15520",5881,"Female",0.503510273972603
"623","15560",1812,"Female",0.472367049009385
"624","15650",7837,"Female",0.487193833146836
"625","15700",9794,"Female",0.509785550697481
"626","15750",6559,"Female",0.501299296851116
"627","15800",2953,"Female",0.504527592687511
"628","15850",3226,"Female",0.500620732464308
"629","15900",78766,"Female",0.506823841298235
"630","15950",35744,"Female",0.528304117768778
"631","15990",129370,"Female",0.511590569365465
"632","16100",2543,"Female",0.479720807394831
"633","16150",20728,"Female",0.513781479278207
"634","16200",7416,"Female",0.507667031763417
"635","16260",112996,"Female",0.499652883718257
"636","16350",99243,"Female",0.506171391266206
"637","16380",40846,"Female",0.520072830058952
"638","16400",35174,"Female",0.505693254356202
"639","16490",27899,"Female",0.497956342477734
"640","16550",71482,"Female",0.508189961609555
"641","16610",11489,"Female",0.503748849037576
"642","16650",55325,"Female",0.505694490146613
"643","16700",59791,"Female",0.514101219239566
"644","16900",35015,"Female",0.511466549810108
"645","16950",50364,"Female",0.505408931259408
"646","17000",11288,"Female",0.491060164440771
"647","17040",9756,"Female",0.482540310614304
"648","17080",7119,"Female",0.494546717610281
"649","17100",19874,"Female",0.493004564397698
"650","17150",111750,"Female",0.511525926468434
"651","17200",100530,"Female",0.482449825794005
"652","17310",30581,"Female",0.512562224494243
"653","17350",3073,"Female",0.502945990180033
"654","17400",3375,"Female",0.50920337960169
"655","17420",79791,"Female",0.50743753299034
"656","17550",47261,"Female",0.517242888881593
"657","17620",7140,"Female",0.505952380952381
"658","17640",3785,"Female",0.491877842755036
"659","17650",3120,"Female",0.515873015873016
"660","17750",31880,"Female",0.511020277310251
"661","17850",1540,"Female",0.498059508408797
"662","17900",2875,"Female",0.47077124611102
"663","17950",1366,"Female",0.5
"664","18020",4692,"Female",0.5
